"PRED","STRAT","YY","LL","Nsamp","Nfull","SCIperN","sp_prey","dietprop","cperfull","elog","e_sd","meanper","lo95per","hi95per"
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Forage.fish",0.168043635712134,0.00408460545437205,0.479573080261886,0.499083408945087,0.617647058823529,0.377862583525072,0.811192370130265
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"King.crab",0,0,-3.49650756146648,1.43548112513055,0.0294117647058824,0.00181464239617847,0.335599965870801
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Octopus",0,0,-3.49650756146648,1.43548112513055,0.0294117647058824,0.00181464239617847,0.335599965870801
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Opilio",0.0129365030494887,0.00314445177840359,-2.33537491581704,0.855092273207357,0.0882352941176471,0.0177867303327148,0.340875740622741
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Oth.nonfish",0.00183176422004028,0.000148414509374163,-1.34992671694902,0.599823607228292,0.205882352941176,0.0740842020904263,0.456541821285541
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Polychaete",0.0184544598459122,0.000897138258460806,-0.737598943130779,0.518434859512082,0.323529411764706,0.147577193887242,0.569186626264039
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Shrimp",0.127997309871026,0.00239323603625354,1.34992671694902,0.599823607228292,0.794117647058824,0.543458178714459,0.925915797909574
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"Unid.Chion",0.256684783664619,0.0103986489676493,-0.479573080261886,0.499083408945087,0.382352941176471,0.188807629869735,0.622137416474928
"P.cod","SE_outer",2007,"[30,60)",16,16,0.0151917589628668,"W.pollock",0,0,-3.49650756146648,1.43548112513055,0.0294117647058824,0.00181464239617847,0.335599965870801
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Amphipods",0.00146642469191374,0.00012767231691431,-1.27296567581289,0.604743156814764,0.21875,0.0788364414795593,0.478096754878802
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Bairdi",0.0197230163194453,0.00515147461153864,-2.26868354131836,0.857690027870236,0.09375,0.0188954848619607,0.357183169477482
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Copepods",0,0,-3.43398720448515,1.4368424162142,0.03125,0.00192635328824019,0.350287418701237
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Discards",0,0,-3.43398720448515,1.4368424162142,0.03125,0.00192635328824019,0.350287418701237
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Empty",0,0,-3.43398720448515,1.4368424162142,0.03125,0.00192635328824019,0.350287418701237
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Epifauna",0.0528262405803171,0.00459924642973661,-1.27296567581289,0.604743156814764,0.21875,0.0788364414795593,0.478096754878802
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Euphausiid",0.00472030025962186,0.00123290000639036,-2.26868354131836,0.857690027870236,0.09375,0.0188954848619607,0.357183169477482
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Flatfish",0.0102221079115668,0.00266992272023461,-2.26868354131836,0.857690027870236,0.09375,0.0188954848619607,0.357183169477482
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Forage.fish",0.632683118439682,0.0127116265078417,1.68639895357023,0.688530372659096,0.84375,0.583432298923855,0.954170679110168
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"King.crab",0,0,-3.43398720448515,1.4368424162142,0.03125,0.00192635328824019,0.350287418701237
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Octopus",0.0195090527595089,0.0012738973131444,-0.93826963859293,0.556038437485533,0.28125,0.116283516316807,0.537819053641133
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Opilio",0.0175139518036738,0.00228724340646073,-1.68639895357023,0.688530372659096,0.15625,0.0458293208898319,0.416567701076145
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Oth.nonfish",0.0160687898990739,0.000839404702227167,-0.646627164925052,0.526361355967815,0.34375,0.157321314980079,0.595088375545199
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Polychaete",0.000464132040107236,6.06135588565317e-05,-1.68639895357023,0.688530372659096,0.15625,0.0458293208898319,0.416567701076145
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Shrimp",0.136445932596362,0.00274141933477945,1.68639895357023,0.688530372659096,0.84375,0.583432298923855,0.954170679110168
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"Unid.Chion",0.083796337135458,0.0109434250903005,-1.68639895357023,0.688530372659096,0.15625,0.0458293208898319,0.416567701076145
"P.cod","SE_outer",2008,"[30,60)",15,15,0.0174127341988075,"W.pollock",0.00456059556326902,0.00119118657497196,-2.26868354131836,0.857690027870236,0.09375,0.0188954848619607,0.357183169477482
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Amphipods",0.0581789209564375,0.000958750106003491,0.78845736036427,0.341121146168977,0.6875,0.529929155861965,0.81108180181338
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Bairdi",0.162225742039144,0.00451131667420249,-0.353640040243578,0.321184140479293,0.4125,0.272265031432923,0.56853607764305
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Copepods",2.83866125353059e-06,1.26303997720658e-06,-3.24519313318557,0.832250378576479,0.0375,0.00756669166438137,0.166036444824884
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Discards",0,0,-4.36944785246702,1.42313613392964,0.0125,0.000777386920615082,0.170781174191574
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Empty",0,0,-4.36944785246702,1.42313613392964,0.0125,0.000777386920615082,0.170781174191574
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Epifauna",0.0750838443386454,0.00196517443740353,-0.251314428280906,0.318727629155838,0.4375,0.294003090373461,0.592278283799232
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Euphausiid",0.0112235160200835,0.000554868343916729,-1.16643488500687,0.371550862118013,0.2375,0.130712395567178,0.392171102021317
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Flatfish",0.00450022430726382,0.00200233937719816,-3.24519313318557,0.832250378576479,0.0375,0.00756669166438137,0.166036444824884
"P.cod","SE_outer",2009,"[30,60)",39,39,0.0114087724982735,"Forage.fish",0.216636186399066,0.00642603771035335,-0.45783309362548,0.324549619569751,0.3875,0.250875132247279,0.544453355789936
