Region,Stratum,Domain,Area_km2
EBS,10,SE_inner,77871
EBS,20,NW_inner,41027
EBS,31,SE_middle,94526
EBS,32,Pribs,8774
EBS,41,NW_middle,62703
EBS,42,Pribs,24011
EBS,43,StMatt,21108
EBS,50,SE_outer,38792
EBS,61,NW_outer,88134
EBS,62,StMatt,6429
EBS,70,NBS70,79261
EBS,71,NBS71,82594
EBS,81,NBS81,38352
EBS,82,NW_corner,17954
EBS,90,NW_corner,11568
