Region,Stratum,Domain,Area_km2
EBS,10,SE_inner,78702.64
EBS,20,NW_inner,41328.67
EBS,31,SE_middle,94983.17
EBS,32,Pribs,8935.52
EBS,41,NW_middle,62875.39
EBS,42,Pribs,24242.43
EBS,43,StMatt,21319.87
EBS,50,SE_outer,38989.6
EBS,61,NW_outer,88753.97
EBS,62,StMatt,6462.79
EBS,70,NBS,73353.11
EBS,71,NBS,0
EBS,81,NBS,35392.93
EBS,82,NW_corner,20897.01
EBS,90,NW_corner,11542
